city,latitude,longitude,datetime,crime_category
Birmingham,33.58908116,-86.68960074,2023-10-27 10:50:00,violent
Birmingham,33.63857123,-86.72343632,2023-10-27 09:00:00,property
Birmingham,33.59023479,-86.73464941,2023-10-27 08:00:00,property
Birmingham,33.51088782,-86.7555386,2023-10-27 08:00:00,property
Birmingham,33.56147061,-86.70965836,2023-10-27 08:00:00,property
Birmingham,33.61846801,-86.70640337,2023-10-27 02:40:00,property
Birmingham,33.64824382,-86.70568995,2023-10-27 01:00:00,property
Birmingham,33.55898023,-86.7487485,2023-10-26 06:00:00,property
Birmingham,33.5507654,-86.73393254,2023-10-26 02:45:00,property
Birmingham,33.59694001,-86.69457014,2023-10-25 17:21:00,property
Birmingham,33.55383566,-86.73276657,2023-10-25 04:00:00,property
Birmingham,33.58653101,-86.70128767,2023-10-24 14:42:00,property
Birmingham,33.63516925,-86.70248196,2023-10-24 12:00:00,property
Birmingham,33.58780116,-86.68910391,2023-10-24 10:52:00,property
Birmingham,33.56374241,-86.7356526,2023-10-24 09:00:00,property
Birmingham,33.53096406,-86.7332923,2023-10-24 04:00:00,violent
Birmingham,33.53197451,-86.73884652,2023-10-23 23:30:00,property
Birmingham,33.61500415,-86.69788475,2023-10-23 11:00:00,property
